7zip,p7zip-full
amberol,
avvie,
baobab,baobab
bash,bash
bat,bat
bfs,bfs
bind-utils,dnsutils
blender,blender
bottles,
btop,btop
cabextract,cabextract
calibre,calibre
cheese,cheese
clang-format,clang-format
cloc,cloc
cmake,cmake
cowsay,cowsay
curl,curl
czkawka,
discord,
dkms,dkms
easyeffects,easyeffects
easytag,easytag
elisa,elisa
exa,exa
extension-manager,
eyedropper,
fd-find,fd-find
ffmpeg,ffmpeg
ffmpegthumbnailer,ffmpegthumbnailer
filelight,filelight
firefox,firefox
flatseal,
foliate,foliate
fzf,fzf
g4music,
ghostscript,ghostscript
gimp,gimp
github-cli,gh
gnome-builder,gnome-builder
gnome-extension-manager,
gnome-tour,gnome-tour
gnome-tweaks,gnome-tweaks
godot,godot
golang,golang
handbrake,
helvum,helvum
htop,htop
identity,
imagemagick,imagemagick
inkscape,inkscape
inotify-tools,inotify-tools
jq,jq
kdenlive,kdenlive
krita,krita
libreoffice,libreoffice libreoffice-core libreoffice-base
logisim-evolution,
lollypop,lollypop
luajit,luajit
luarocks,luarocks
mpd,mpd
mpv,mpv
musl-gcc,musl-tools
ncdu,ncdu
ncmpcpp,ncmpcpp
neovim,neovim
netcat,netcat
npm,npm
nvtop,nvtop
obs-studio,
obsidian,
openssl,openssl
pandoc,pandoc
pdfarranger,pdfarranger
perl,perl
pkg-config,pkg-config
prism-launcher,
python3,python3 python-is-python3
python3-pip,python3-pip
qbittorrent,qbittorrent
radeontop,radeontop
readline-dev,libreadline-dev
rhythmbox,rhythmbox
ripgrep,ripgrep
rnote,
ryujinx,
shellcheck,shellcheck
spotify,
steam,steam
steam-devices,steam-devices
thunderbird,thunderbird
tmux,tmux
trash-cli,trash-cli
unzip,unzip
upscaler,
util-linux,util-linux
valgrind,valgrind
videotrimmer,
vlc,vlc
webp-pixbuf-loader,webp-pixbuf-loader
wget,wget
x264,x264 libx264 libx264-dev
xournalpp,xournalpp
yelp,yelp
yuzu,
zathura,zathura
zathura-extra,zathura-cb zathura-pdf-poppler
zsh,zsh
